main1,enemy1,main2,enemy2,main3,enemy3,main4,enemy4,main5,enemy5,main_pre_b1,enemy_pre_b1,main_pre_b2,enemy_pre_b2,main_post_b,enemy_post_b,is_first,is_win
c4144,c1159,c1126,c6017,c2022,c4004,c2047,c2103,c2099,c1137,c2016,c2090,c2109,c2089,c2099,c6017,0,2
c4144,c2022,c1159,c2008,c2101,c2050,c4004,c5089,c2099,c2089,c2016,c2090,c2109,c1133,c2099,c2089,0,2
c1159,c2089,c4144,c2024,c2022,c2070,c2047,c2009,c2099,c5082,c2016,c2090,c2109,c1133,c4144,c5082,0,2
c4144,c1121,c1159,c5089,c2022,c2070,c2047,c1034,c2089,c2079,c2016,c1133,c2109,c6062,c2089,c5089,0,1
c4144,c1159,c2022,c2089,c2090,c4004,c2101,c2050,c2047,c1145,c2016,c1133,c2109,c1118,c2047,c2089,0,2
c4144,c1126,c2022,c2070,c1159,c5089,c2047,c2024,c1121,c2050,c2016,c1133,c2109,c2090,c2022,c1126,1,2
c4144,c1133,c2022,c1119,c1137,c2024,c1126,c1014,c1134,c1118,c2016,c6037,c2109,c1151,c1137,c2024,0,2
c4144,c2089,c1159,c4004,c2022,c2101,c2090,c2050,c2047,c6037,c2016,c6062,c2109,c1133,c2047,c2089,0,2
c4144,c4004,c2022,c6062,c1126,c2050,c2047,c5082,c2099,c5089,c2016,c2090,c2109,c1159,c2099,c5082,1,1
c4144,c4004,c2022,c1159,c2090,c1116,c2099,c2050,c2047,c2089,c2016,c1118,c2109,c1133,c2022,c2089,1,2
c1126,c4123,c4144,c2101,c2022,c1129,c2047,c1102,c2099,c1154,c2016,c1159,c2109,c2070,c2099,c4123,1,1
c4144,c2008,c2022,c1159,c2047,c2024,c2099,c2070,c1089,c1101,c2016,c2090,c2109,c1133,c2099,c2008,1,1
c1112,c1133,c1137,c1159,c4144,c2046,c2015,c2132,c4123,c2090,c2016,c2109,c2109,c2016,c4123,c1159,0,2
c4144,c1159,c2022,c2024,c4004,c2089,c2090,c5089,c1117,c2050,c2016,c1133,c2109,c1118,c1117,c1159,0,1
c4144,c1133,c1112,c1142,c1137,c2069,c1126,c1118,c2095,c5046,c2016,c1117,c2109,c2016,c2095,c2069,0,1
c1159,c2101,c2022,c1112,c2047,c2090,c1089,c1128,c2099,c2009,c2016,c1118,c2109,c4144,c2099,c1112,1,1
c2090,c1159,c2022,c2101,c2047,c2132,c1089,c2038,c2099,c5082,c2016,c4144,c2109,c1133,c2099,c5082,1,1
c4144,c1137,c2022,c1159,c1089,c2079,c2047,c2089,c2099,c2009,c2016,c1133,c2109,c1126,c2099,c2089,1,1
c4144,c1133,c2022,c1159,c1117,c2024,c2047,c2070,c2101,c5089,c2016,c1118,c2109,c1147,c2101,c5089,0,1
c4144,c1159,c2022,c2089,c2090,c4004,c2101,c2132,c2047,c2071,c2024,c1151,c2109,c1133,c4144,c4004,0,1
c4144,c2016,c2022,c2008,c2047,c5082,c2101,c2089,c1159,c5089,c2024,c1151,c2109,c2090,c2022,c2089,1,2
c4144,c2090,c2022,c1159,c1089,c2008,c2099,c2101,c2047,c1144,c2024,c6062,c2109,c2109,c2022,c2008,1,1
c1133,c1159,c1137,c2046,c2022,c1121,c4004,c5089,c2047,c2050,c2024,c2109,c2109,c2016,c2047,c2046,1,2
c4144,c2046,c1112,c1150,c1137,c1014,c1133,c1147,c2015,c2080,c2024,c2016,c2109,c2109,c1112,c2046,1,1
c2022,c1159,c2101,c2008,c2047,c2016,c4004,c2111,c2099,c1128,c2109,c2090,c2024,c4144,c2022,c2016,0,1
c4144,c2016,c2022,c1119,c2090,c1141,c1126,c1014,c4004,c2020,c2109,c1121,c2024,c1133,c1126,c2016,1,2
c4144,c1159,c2022,c2008,c2047,c2050,c1117,c5149,c2099,c2079,c2109,c2090,c2024,c2109,c2099,c2008,0,1
c4144,c1133,c4004,c2016,c2022,c1118,c1117,c2069,c1112,c1130,c2109,c2090,c2024,c1126,c1117,c1118,1,1
c1126,c1159,c2022,c2008,c1089,c1151,c2047,c2016,c2099,c1014,c2109,c4144,c2024,c2090,c2022,c1014,1,2
c4144,c2089,c2022,c2090,c1089,c1128,c2047,c1159,c2099,c1103,c2109,c1133,c2024,c1118,c2022,c2089,1,1
c4144,c6037,c2022,c2090,c1089,c1119,c2047,c2070,c2099,c5089,c2109,c1148,c2024,c1118,c2099,c1119,1,1
c4144,c2090,c2022,c2089,c1089,c6062,c1117,c2050,c2047,c5149,c2109,c2109,c2024,c2016,c1117,c2089,1,1
c4144,c1159,c2022,c2008,c2101,c2016,c4004,c2089,c1117,c2050,c2109,c2090,c2024,c1151,c1117,c2089,0,2
c4144,c2089,c2022,c2101,c2047,c1121,c1089,c1128,c2099,c2020,c2109,c1133,c2024,c1126,c2099,c1121,0,1
c4144,c1159,c2090,c2008,c2101,c1151,c1117,c2050,c2022,c1073,c2109,c2109,c2024,c6062,c1117,c1073,1,2
c4144,c2090,c2022,c1159,c1089,c2008,c2047,c5149,c2099,c5082,c2109,c6062,c2024,c2089,c2099,c5082,0,1
c4144,c2089,c2022,c6037,c2101,c1128,c4004,c5089,c1121,c1130,c2109,c2090,c2024,c1151,c4004,c2089,1,1
c4144,c2008,c2090,c2016,c2101,c6037,c1159,c1151,c2022,c2050,c2109,c6062,c2024,c2089,c2022,c2016,1,1
c4144,c2101,c2022,c1159,c2047,c1154,c2099,c2103,c1089,c1133,c2109,c6062,c2024,c2090,c2099,c1133,1,1
c4144,c2089,c2101,c2016,c1159,c4004,c1133,c5089,c1121,c2079,c2109,c1151,c2024,c2090,c1133,c4004,1,1
c4144,c1137,c2022,c2008,c2090,c2132,c2047,c2050,c2099,c1099,c2109,c1151,c2024,c1159,c2099,c1099,1,2
c4144,c1159,c2101,c2008,c2022,c2089,c4004,c1128,c2050,c2111,c2109,c1151,c2024,c2090,c2050,c2111,1,2
c4144,c1159,c2101,c2089,c2022,c5089,c4004,c2099,c1117,c2050,c2109,c1151,c2024,c2090,c1117,c2089,0,1
c4144,c2016,c2022,c2090,c2047,c2070,c1089,c1128,c2099,c1034,c2109,c1117,c2024,c2109,c2099,c2016,0,1
c4144,c1133,c2022,c2016,c4004,c1118,c1137,c2069,c1112,c5046,c2109,c2090,c2024,c1126,c1112,c2016,1,2
c4144,c2090,c2022,c6037,c1089,c2070,c2047,c1133,c1126,c1100,c2109,c6062,c2024,c2024,c2047,c1133,1,1
c4144,c2016,c2090,c1159,c2101,c6037,c2022,c1151,c4004,c1119,c2109,c1126,c2024,c2024,c2022,c1151,1,1
c4144,c2089,c2022,c2008,c2090,c1159,c2101,c1128,c2099,c4005,c2109,c1118,c2024,c2046,c2090,c1159,0,1
c4144,c6037,c2022,c2090,c1089,c4004,c2047,c2079,c2099,c2071,c2109,c1126,c2024,c1159,c2099,c4004,0,2
c4144,c6037,c2022,c1159,c2047,c1137,c1089,c1134,c2099,c5149,c2109,c1121,c2024,c6062,c2099,c1159,0,1
c2090,c2016,c2101,c2009,c2022,c6037,c4144,c2111,c2099,c5089,c2109,c2070,c2024,c1159,c2099,c2016,0,1
c4144,c1159,c2022,c2089,c1089,c6062,c2047,c5149,c2101,c5082,c2109,c2016,c2024,c2109,c2101,c5082,0,2
c1137,c1133,c2016,c1159,c2022,c2090,c4144,c6011,c2047,c2038,c2109,c2109,c2024,c1117,c2022,c1133,0,1
c4144,c1159,c2022,c6062,c2090,c2132,c2047,c1119,c1089,c6011,c2109,c2109,c2024,c2016,c2022,c1159,1,1
c2090,c2101,c2022,c1159,c2047,c1081,c2095,c5046,c4004,c1126,c2109,c4144,c2024,c1133,c2022,c1126,1,1
c4144,c1159,c2022,c1133,c1126,c1119,c1137,c2089,c1089,c1128,c2109,c2109,c2024,c2016,c1126,c1128,0,1
c2022,c2101,c1126,c4123,c2047,c2132,c1089,c1154,c2099,c2079,c2109,c1133,c2024,c4144,c2099,c4123,0,1
c4144,c2090,c2022,c1159,c2047,c4004,c1089,c2079,c2099,c2023,c2109,c1151,c2024,c6037,c2099,c4004,0,1
c4144,c1159,c2022,c2101,c2047,c2008,c1089,c1128,c2099,c1034,c2109,c2089,c2024,c2090,c2099,c1034,0,1
c4144,c1159,c2022,c1133,c2101,c2089,c4004,c2050,c2019,c2069,c2109,c2090,c2024,c1151,c2022,c2050,1,1
c4144,c2089,c2022,c2090,c1126,c1159,c2047,c2050,c1089,c4005,c2109,c6037,c2024,c1151,c1089,c2089,1,2
c2022,c1159,c4144,c2008,c2090,c2016,c2101,c2132,c4004,c1128,c2109,c1133,c2024,c6062,c4004,c2008,0,2
c4144,c1159,c2022,c2008,c2090,c1103,c2101,c1128,c4004,c1034,c2109,c1133,c2024,c2089,c4004,c2008,1,2
c4144,c1159,c2022,c2089,c2047,c2050,c1089,c1137,c2099,c1023,c2109,c2090,c2024,c1151,c2022,c2089,0,1
c1133,c2050,c2022,c1099,c2016,c6062,c1159,c4004,c2101,c2047,c2109,c2109,c2024,c1117,c2016,c2047,1,1
c1133,c1159,c2022,c2046,c4144,c2050,c1117,c1119,c2047,c1154,c2109,c2109,c2024,c2016,c1117,c2046,1,1
c4144,c1159,c2022,c2008,c2090,c1137,c2101,c2111,c2099,c2050,c2024,c1151,c2109,c2046,c2090,c2111,0,1
c4144,c1159,c2022,c2089,c2101,c2008,c2016,c2074,c2099,c2038,c2024,c2090,c2109,c1151,c2099,c2089,0,2
c1133,c2050,c2016,c1099,c2022,c2049,c2047,c6062,c1159,c1109,c2024,c2109,c2109,c1117,c2016,c1099,1,1
c4144,c1159,c2022,c1144,c2101,c6011,c4004,c2099,c2016,c1034,c2024,c1118,c2109,c2090,c2016,c1144,0,1
c4144,c1159,c2022,c2090,c2047,c2070,c1089,c1154,c2099,c5149,c2024,c6062,c2109,c2089,c2099,c1159,0,1
c4144,c1159,c2022,c2070,c2047,c2050,c1089,c1103,c2099,c1118,c2024,c2016,c2109,c1126,c2047,c1118,0,1
c4144,c2070,c1126,c6037,c2022,c1137,c2047,c5149,c2099,c1128,c2024,c2016,c2109,c1159,c2099,c2070,0,1
c4144,c6037,c2022,c2090,c1089,c5082,c2047,c1137,c2099,c2079,c2024,c1126,c2109,c2101,c2099,c5082,0,1
c4144,c1159,c2101,c6037,c2022,c2050,c2047,c2110,c2099,c4004,c2109,c2090,c2024,c2089,c2099,c1159,0,1
c4144,c1159,c2090,c1121,c2022,c2132,c2047,c5082,c2099,c2079,c2109,c1151,c2024,c1133,c2099,c5082,0,1
c4144,c1126,c2090,c1151,c4004,c2016,c2101,c2111,c2012,c2022,c2109,c1159,c2024,c6037,c2012,c1151,0,2
c4144,c2070,c1159,c6062,c2022,c5089,c4004,c1128,c1133,c2050,c2109,c2090,c2024,c2101,c1133,c1128,1,2
c4144,c2089,c2022,c1159,c2090,c2016,c2101,c2079,c4004,c2099,c2109,c1133,c2024,c6037,c4004,c2089,1,1
c4144,c1159,c2090,c2008,c2101,c6037,c2022,c2050,c4004,c2016,c2109,c2089,c2024,c5089,c2101,c2008,0,2
c4144,c1159,c2022,c1137,c2101,c4005,c4004,c5089,c2099,c2111,c2109,c1126,c2024,c2090,c2099,c2111,0,1
c4144,c6037,c2022,c1133,c1137,c6062,c2016,c2090,c2047,c1130,c2109,c2089,c2024,c1126,c2047,c1133,1,1
c4144,c2101,c2090,c2132,c2022,c4004,c2047,c1119,c2099,c2079,c2109,c2024,c2024,c1151,c2099,c1119,0,1
c4144,c2089,c2022,c2070,c2090,c2046,c1159,c6037,c2101,c4005,c2109,c1133,c2024,c6062,c2022,c2046,0,1
c4144,c2070,c2022,c1121,c2047,c5089,c1126,c1128,c2099,c1089,c2109,c2089,c2024,c2090,c1126,c5089,0,1
c4144,c4004,c2022,c6017,c2090,c2038,c1159,c1128,c2050,c1143,c2109,c2109,c2024,c2089,c2022,c2038,0,1
c2022,c2046,c2050,c1150,c1133,c1014,c1117,c2090,c2015,c2080,c2109,c2109,c2024,c2016,c2015,c2080,0,1
c4144,c6037,c2022,c2090,c1126,c1159,c2047,c1141,c2099,c1147,c2109,c2089,c2024,c1133,c4144,c1159,1,1
c2022,c2046,c2050,c1014,c1133,c1112,c1117,c2027,c1137,c1034,c2109,c2016,c2024,c2109,c1133,c1112,0,2
c2090,c2073,c4144,c2070,c2022,c6037,c2047,c2050,c2099,c1141,c2109,c2089,c2024,c1126,c2099,c1141,0,1
c2090,c6037,c2022,c1159,c2101,c2111,c2099,c2047,c4004,c1126,c2109,c2089,c2024,c6062,c2101,c1126,1,1
c4144,c1126,c2022,c2070,c2090,c2132,c2101,c2038,c4004,c1119,c2109,c1159,c2024,c6062,c2022,c2132,1,1
c4144,c1154,c2022,c1159,c1126,c5149,c2099,c2079,c2047,c1131,c2109,c2101,c2024,c2090,c2099,c1131,1,2
c2090,c1159,c2101,c4004,c2050,c1151,c1126,c2023,c4144,c2071,c2109,c2089,c2024,c1133,c1126,c1151,0,2
c2090,c1159,c2101,c2009,c2022,c2132,c4004,c6037,c2099,c4144,c2109,c6062,c2024,c2042,c2099,c2132,0,1
c2090,c1159,c2101,c2070,c4004,c2016,c2022,c2053,c1103,c2110,c2109,c3132,c2024,c3041,c1103,c2110,0,1
c2101,c2008,c1159,c2016,c2022,c2111,c4004,c5089,c2012,c5082,c2109,c2070,c2024,c2090,c2012,c5089,0,2
c1133,c2016,c2090,c1159,c2101,c1151,c2022,c2132,c4004,c1147,c2109,c4144,c2024,c1117,c2022,c1151,1,2
c2090,c2016,c4144,c1133,c2022,c1118,c1117,c5024,c1159,c2069,c2109,c2109,c2024,c6037,c1117,c2069,1,1
c4144,c1159,c1126,c2016,c2022,c2008,c2047,c5082,c2050,c5149,c2109,c2090,c2024,c2101,c2050,c2008,0,2
c1133,c4144,c1118,c1125,c1007,c2004,c2031,c2015,c2069,c1103,c2109,c2109,c2016,c2016,c1133,c1103,0,2
c1133,c1159,c1118,c1137,c2031,c1091,c2069,c1144,c2011,c1055,c2109,c2089,c2016,c4144,c2011,c1144,1,2
c1133,c1151,c1118,c4123,c2031,c1117,c5024,c2103,c2011,c1023,c2109,c2089,c2016,c4144,c5024,c1117,1,1
c1133,c1159,c1118,c2008,c2031,c1137,c2011,c4144,c2069,c1023,c2109,c2089,c2016,c1151,c2069,c1023,1,1
c1133,c2046,c1118,c1150,c1112,c4123,c2102,c2050,c1130,c2035,c2016,c2109,c2109,c2016,c2102,c4123,1,1
c1133,c2089,c1118,c4144,c2031,c2042,c2011,c1091,c2069,c6062,c2109,c2109,c2016,c1126,c2069,c6062,0,1
c1133,c1159,c1118,c4144,c2069,c1091,c2031,c2042,c2011,c1112,c2016,c2109,c2109,c1117,c2069,c4144,1,2
c1133,c2089,c1118,c2047,c2011,c2042,c2031,c4004,c2069,c1117,c2016,c1126,c2109,c6062,c1118,c1117,0,2
c1133,c1159,c1118,c2008,c2031,c1137,c2011,c1091,c2012,c1117,c2109,c1151,c2016,c2089,c2012,c1117,0,2
c1133,c2090,c1118,c1117,c2031,c4144,c2011,c1112,c2069,c1125,c2016,c2008,c2109,c2132,c1118,c1117,0,1
c1118,c2089,c1150,c1055,c2031,c1112,c2069,c2015,c2011,c4144,c2016,c1133,c2109,c1151,c2031,c4144,1,2
c1133,c4004,c1118,c1137,c2031,c1091,c2069,c1134,c2011,c1112,c2016,c6062,c2109,c2016,c2011,c1134,1,1
c1133,c1126,c1118,c1159,c1007,c4144,c2069,c1055,c5024,c1117,c2016,c1150,c2109,c6037,c5024,c1117,1,1
c1118,c4144,c2031,c1112,c1137,c1055,c2011,c6062,c2069,c1121,c2016,c1126,c2109,c1133,c1137,c6062,0,2
c1118,c2008,c1112,c1117,c2072,c4144,c2031,c6062,c2069,c1137,c2109,c2090,c2016,c1133,c2069,c1117,0,2
c1133,c1112,c1118,c1137,c2031,c1134,c2069,c2015,c2011,c1126,c2109,c2109,c2016,c1117,c2031,c1134,1,2
c1118,c1133,c1112,c1143,c1014,c1007,c2004,c1020,c2031,c2102,c2016,c6037,c2109,c2016,c2004,c1133,0,1
c1133,c4144,c1118,c1112,c2031,c6062,c2011,c1137,c2069,c1023,c2016,c1151,c2109,c1159,c1118,c1023,0,2
c1133,c1159,c1118,c3094,c2031,c1112,c2069,c1121,c2072,c1023,c2109,c1126,c2016,c2090,c2069,c1023,1,1
c1133,c4144,c1118,c1137,c2031,c1112,c2011,c1134,c2069,c1117,c2109,c2089,c2016,c1151,c2011,c1117,1,2
c1133,c2042,c1118,c6062,c2031,c1117,c2011,c1134,c2069,c1091,c2109,c2089,c2016,c2109,c2011,c1117,1,1
c2031,c1118,c1137,c1089,c1007,c1014,c2004,c1020,c2047,c1023,c2109,c2109,c2016,c1133,c2047,c1023,0,1
c1133,c1055,c1137,c1112,c1118,c1134,c2069,c1159,c1130,c2095,c2109,c2089,c2016,c1151,c1133,c1159,1,1
c1118,c1133,c2031,c1112,c1137,c4144,c2079,c1159,c2069,c1055,c2109,c1117,c2016,c2109,c2069,c1133,0,2
c1133,c1137,c1118,c2008,c2031,c1091,c2069,c1117,c2011,c1055,c2109,c1151,c2016,c1126,c2069,c1117,1,2
c1118,c2008,c1133,c1137,c2031,c1055,c2011,c1117,c2069,c1091,c2016,c1151,c2109,c2089,c1118,c1117,0,1
c1133,c1055,c1118,c1117,c1137,c1112,c1134,c6062,c1102,c4144,c2016,c1151,c2109,c2090,c1137,c1117,1,2
c1118,c6062,c1112,c4144,c2031,c1014,c1020,c1007,c2004,c2014,c2016,c1151,c2109,c1133,c2031,c1007,1,1
c1118,c1159,c2031,c2008,c1112,c1117,c2011,c2015,c2069,c1134,c2016,c1133,c2109,c6062,c1112,c1117,1,1
c1133,c1137,c1118,c1159,c2031,c1055,c2011,c1112,c2069,c1121,c2016,c3004,c2109,c2089,c1118,c1112,1,1
c1133,c4123,c1118,c2046,c1130,c4144,c1112,c2035,c2079,c5024,c2016,c2016,c2109,c2089,c1112,c2035,1,2
c1118,c2090,c1112,c4144,c2031,c2047,c2011,c1014,c2069,c5082,c2016,c2109,c2109,c1133,c2011,c1014,0,1
c1133,c4144,c1118,c4004,c2031,c1091,c2069,c1117,c2011,c2073,c2016,c2109,c2109,c1126,c2069,c1117,1,1
c1118,c1159,c1112,c1117,c2031,c1137,c2011,c2095,c2069,c4144,c2109,c1133,c2016,c2090,c2069,c1117,1,1
c1133,c1055,c1118,c6037,c2031,c6062,c2011,c1137,c2069,c1023,c2109,c1126,c2016,c2008,c1118,c1023,1,1
c1118,c2046,c2031,c1014,c2004,c1007,c2020,c1065,c1020,c1080,c2109,c1133,c2016,c4144,c2004,c1065,0,1
c1133,c2008,c1118,c1112,c2031,c4144,c2069,c2042,c2011,c1055,c2109,c1151,c2016,c2090,c2011,c1112,1,2
c1118,c2046,c2031,c1134,c2011,c2008,c1112,c2047,c1130,c2070,c2109,c1133,c2016,c1126,c1118,c2008,0,2
c1133,c2050,c1118,c4123,c1130,c2046,c2079,c4144,c1112,c5024,c2109,c2016,c2016,c2089,c1112,c5024,1,1
c1133,c1055,c1118,c2008,c2031,c1134,c2069,c1103,c2011,c1117,c2109,c1151,c2016,c2089,c2069,c1117,1,1
c1118,c1014,c2031,c2004,c1007,c1020,c2047,c2014,c4144,c2089,c2109,c1159,c2016,c1133,c4144,c2089,1,1
c1133,c1159,c1118,c2008,c2031,c1117,c2011,c1137,c2069,c2042,c2109,c4144,c2016,c2089,c2011,c1117,1,1
c2089,c1159,c1112,c2090,c2031,c4144,c2069,c2008,c2011,c1117,c2109,c1133,c2016,c1118,c2011,c1117,1,1
c1118,c4144,c2031,c6062,c1112,c1099,c1014,c1150,c1007,c1134,c2109,c2109,c2016,c1133,c1118,c1134,1,1
c1133,c2070,c1118,c1117,c2031,c1055,c2011,c4144,c2069,c1112,c2109,c6062,c2016,c2089,c1118,c1117,1,1
c1118,c2089,c1133,c2008,c2011,c4144,c2031,c1091,c2069,c1137,c2109,c6062,c2016,c1151,c1118,c2008,0,2
c1133,c1159,c1118,c1125,c1014,c2095,c2069,c4144,c2091,c2015,c2016,c2016,c2109,c2109,c1133,c2095,1,1
c1118,c1133,c2031,c1112,c2079,c1137,c1102,c1055,c2090,c1148,c2016,c1117,c1117,c2109,c2090,c1148,0,2
c1133,c2109,c1118,c4004,c2031,c2047,c2011,c1023,c5024,c1099,c1117,c1151,c2016,c2090,c1118,c2109,1,2
c1118,c2109,c1112,c2008,c2031,c1091,c2069,c4144,c2011,c2095,c1117,c2046,c2016,c1133,c2069,c2109,1,1
c1133,c1159,c1118,c2109,c2031,c2008,c2069,c1134,c2011,c1091,c1117,c1151,c2016,c1055,c2011,c2008,1,2
c1118,c4004,c1112,c2109,c2031,c6008,c2011,c1091,c2069,c1023,c1117,c4144,c2016,c1133,c1118,c1023,0,1
c1133,c2109,c1118,c1137,c2031,c1112,c2069,c4144,c2011,c6062,c1117,c2089,c2016,c1151,c2069,c2109,1,2
c1133,c1126,c1118,c4144,c1130,c4123,c2079,c2050,c1112,c1055,c1117,c2090,c2016,c1159,c1118,c4123,1,1
